Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-517,PAK COLD STORAGE FRUIT MARKET,BADAMI BAGH,,7729873,,COLD STORAGE,VEGITABLES / FRUITS
NEW-518,PASSCO COLD STORAGE AHMED ALI ROAD QILA LACKSHMAN SINGH,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-519,PUNAJB COLD STORAGE G.T. ROAD DAROGHAWALA,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-520,QASIM COLD STORAGE BUND ROAD,,,6815046,,COLD STORAGE,VEGITABLES / FRUITS
NEW-521,RAHAT COLD STORAGE BUND ROAD,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-522,REHAN COLD STORAGE BADAMI BAGH,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-523,REHMAN COLD STORAGE BADAMI BAGH,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-524,ROSHAN COLD STORAGE,FRUIT MARKET BADAMI BAGH,,7724473,,COLD STORAGE,VEGITABLES / FRUITS
NEW-525,ROYAL COLD STORAGE MAIN ROAD MAHMOOD BOOTI,,,6558484,,COLD STORAGE,VEGITABLES / FRUITS
NEW-526,SARTAJ COLD STORAGE BAGHBANPURA,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-527,SETHE COLD STORAGE,BAKAR MANDI BUND ROAD,,7582397,,COLD STORAGE,VEGITABLES / FRUITS
NEW-528,SHABAZ COLD STORAGE,"NEAR RAVI BRIDGE, BUND ROAD",,7646049,,COLD STORAGE,VEGITABLES / FRUITS
NEW-529,SHABIR AND BROTHERS,CO. & COLD STORAGE KACHA RAHIM ROAD,,7280738,,COLD STORAGE,VEGITABLES / FRUITS
NEW-530,SHIMLA COLD STORAGE 95-RAVI ROAD,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-531,STANDARD COLD STORAGE BADAMI BAGH,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-532,STAR COLD STORAGE,BUND ROAD,,7730314,,COLD STORAGE,VEGITABLES / FRUITS
NEW-533,SULEMAN COLD STORAGE 95-RAVI ROAD,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-534,TAHIR ICE COLD STORAGE (PVT) LTD.,KHOKHAR ROAD BADAMI BAGH,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-535,TAJ COLD STORAGE FRUIT MARKET,BADAMI BAGH,,7726638,,COLD STORAGE,VEGITABLES / FRUITS
NEW-536,TAJ COLD STORAGE SHADBAGH BUND ROAD,,,7281825,,COLD STORAGE,VEGITABLES / FRUITS
NEW-537,USMAN COLD STORAGE NEAR SHALIMAR KANATA MEHMOOD BOOTI,,,6547942,,COLD STORAGE,VEGITABLES / FRUITS
