Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-842,TAHIR EMBROIDERY WORKS OPP. ASIA PAINT ABU BAKAR SIDDIQUE COLONY BUND ROAD,,,7615090,,EMBROIDERY,EMBROIDERED CLOTH
NEW-843,TARIQ EMBROIDERY BILAL HABSHI STREET SANT NAGAR,,,7113501,,EMBROIDERY,EMBROIDERED CLOTH
NEW-844,TOPSTITCH APPAREL 18-D,"GHAZI PARK PECO ROAD, KOT LAKHPAT",,5839618,,EMBROIDERY,EMBROIDERED CLOTH
NEW-845,TRI STAR EMBRIDERY NEW BHOGIWAL,"ROAD, OPP. BAO RAFIQUE COLD STORAGE, BAGHBANPURA",,6818716,,EMBROIDERY,EMBROIDERED CLOTH
NEW-846,UMAR EMBROIDERY 17 FIRDOUS PARK OUT FALL ROAD,,,7312497,,EMBROIDERY,EMBROIDERED CLOTH
NEW-847,UMER EXPORTS PECO CHOWK NEAR PSO PETROL PUMP KOT LAKHPAT,,,5831610,,EMBROIDERY,EMBROIDERED CLOTH
NEW-848,UNIQUE EMBROIDERY UMER TOWN,"BUND ROAD, PLOT NO.1",,7400266,,EMBROIDERY,EMBROIDERED CLOTH
NEW-849,UNITEXTILES INTERNATIONAL 177-S S.I.E. KOT LAKHPAT,,,5156114-7,,EMBROIDERY,EMBROIDERED CLOTH
NEW-850,WAHEED EMBROIDERY WORKS,RASHEED ST.NO. BAO HALL OUT FALL ROAD,,7151429,,EMBROIDERY,EMBROIDERED CLOTH
NEW-851,WASEEM EMBROIDERY WORKS,BILAL HABSHI STREET SANAT NAGAR,,,,EMBROIDERY,EMBROIDERED CLOTH
NEW-852,ZAHID EMBROIDERY KHAN DIESEL STOP CHOHAN ROAD,BUND ROAD,,7110350,,EMBROIDERY,EMBROIDERED CLOTH
NEW-853,ZOHA EMBROIDERY MUGHAL PARK SAGGIAN BRIDGE,,,7350324,,EMBROIDERY,EMBROIDERED CLOTH
