Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1310,BAJWA INDUSTRIES,BHANI ROAD SHADIPURA,,6550837,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1311,BARKAT ALI STEEL RE-ROLLING MILLS,RASHIDPURA DAROGHAWALA,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1312,BARKAT STEEL RE-ROLLING MILLS,SHADI PURA BHANI ROAD DAROGHAWALA ROAD SHALIMAR TOWN.,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1313,BARKAT STEEL RE-ROLLING MILLS,", BHANI ROAD, SHAHDI PURA, DAROGHAWALA,",,6545394-95,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1314,BASHIR SONS,STEEL CASTING 29-SAHAR ROAD BAGH BANPURA,,37963838,,IRON & STEEL RE-ROLLING MILLS,CASTING
NEW-1315,BASHIR STEEL RE-ROLLING MILLS,BUND ROAD MEHMOOD BOOTI,,336913,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1316,BATALA STEEL INDUSTRIES,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1317,BERIWALI STEEL RE-ROLLING MILLS,", LAKHODAIR ROAD, SHALIMAR TOWN,",,6814045,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1318,BINYAMEEN NAEEM STEEL RE-ROLLING MILLS,140 NOOR ROAD BADAMI BAGH,,37606422,,IRON & STEEL RE-ROLLING MILLS,M.S PRODUCTS
NEW-1319,BISMALLAH STEEL MILLS,LAKHODAIR ROAD MAHMOOD BOOTI,,6545014,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1320,BLACK GOLD INDUSTRY BHOGIWAL BUND ROAD,,,6814045,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1321,BROTHERS STEEL LTD.,KOT LAKHPAT,,6304637-8,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1322,CAPITAL STEEL MILLS,"KHOKHAR ROAD, BADAMI BAGH",,6275755,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1323,CH. STEEL RE-ROLLING MILL (PVT) LTD.,BADAMI BAGH,,,,IRON & STEEL RE-ROLLING MILLS,GIRDERS
NEW-1324,CH. STEEL RE-ROLLING MILLS,"SOHARWARDI STREET, SHALIMAR TOWN,",,6548325,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1325,CH.HAFEEZ STEEL RE-ROLLING MILLS,MEHRAJPURA BADAMI BAGH,,7280710,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1326,CHANDI STEEL RE-ROLLING MILLS,LAKHODAIR ROAD,,6810757,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1327,CHAUDHRY STEEL INDUSTRIES,"MOMINPURA, ROAD, DAROGHAWALA.",,6546927,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1328,CHAUDHRY STEEL REROLLING MILLS,"(PVT) LTD., 79-PECO ROAD, BADAMI BAGH",,37616007,,IRON & STEEL RE-ROLLING MILLS,M.S PRODUCTS
